,Connection Size##pipe_size##inches,Material Number##other##,Operator Selector##length##inches,Connection Type##other##,Unit Weight Value##number##general,Valve Material##other##,Minimum Operating Temperature##hvac_temperature##Fahrenheit,Maximum Operating Temperature##hvac_temperature##Fahrenheit,Maximum Working Pressure##piping_pressure##pounds_force_per_square_inch,Cv Coefficient##other##,K Coefficient##other##,Body Length##Length##inches,Centerline to Handle Height##Length##inches,Center to End 1##Length##inches,Center to Handle End##Length##inches,Overall Length##Length##inches,Overall Height##Length##inches,Body Diameter##Length##inches,Handle Height##Length##inches,Nut Size Selector Length##length##inches,Operator Selector Length##length##inches,Operator Material##other##,Model##other##,Flow Configuration##other##,Standards##other##,Description##other##,Product Page URL##other##,URL##other##,Series##other##
1/2in_NL95C06,1/2,NL95C06,9,Female NPT Thread (FIPT),0.788,FamilyMEP - Neutral Gray,0,0,600,0,0,2.42,1.26,1.198,8.00,0,1.9,1.28,0.109,0,1,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
3/4in_NL95C08,3/4,NL95C08,9,Female NPT Thread (FIPT),1.371,FamilyMEP - Neutral Gray,0,0,600,0,0,2.95,1.60,1.47,9.50,0,2.45,1.70,0.12,0,2,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1in_NL95C0A,1,NL95C0A,9,Female NPT Thread (FIPT),2.428,FamilyMEP - Neutral Gray,0,0,600,0,0,3.33,1.75,1.664,9.50,0,2.795,2.09,0.12,0,2,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1 1/4in_NL95C0B,1 1/4,NL95C0B,9,Female NPT Thread (FIPT),2.955,FamilyMEP - Neutral Gray,0,0,600,0,0,4.18,2.47,2.09,14.00,0,3.7,2.46,0.134,0,3,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1 1/2in_NL95C0C,1 1/2,NL95C0C,9,Female NPT Thread (FIPT),4.611,FamilyMEP - Neutral Gray,0,0,600,0,0,4.70,2.56,2.348,14.00,0,4.035,2.95,0.134,0,3,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
2in_NL95C0D,2,NL95C0D,9,Female NPT Thread (FIPT),6.092,FamilyMEP - Neutral Gray,0,0,600,0,0,5.16,2.92,2.575,14.00,0,4.765,3.69,0.134,0,3,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1/4in_NL95R04,1/4,NL95R04,7,Female NPT Thread (FIPT),0.611,FamilyMEP - Neutral Gray,0,0,600,0,0,1.99,2.02,0.992,3.50,0,2.575,1.11,0.99,0,1,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
3/8in_NL95R05,3/8,NL95R05,7,Female NPT Thread (FIPT),0.605,FamilyMEP - Neutral Gray,0,0,600,0,0,2.0,2.02,1.0,3.50,0,2.575,1.11,0.99,0,1,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1/2in_NL95R06,1/2,NL95R06,7,Female NPT Thread (FIPT),0.798,FamilyMEP - Neutral Gray,0,0,600,0,0,2.42,2.14,1.198,3.50,0,2.78,1.28,0.99,0,1,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
3/4in_NL95R08,3/4,NL95R08,7,Female NPT Thread (FIPT),1.426,FamilyMEP - Neutral Gray,0,0,600,0,0,2.95,2.47,1.47,3.50,0,3.32,1.70,0.99,0,1,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1in_NL95R0A,1,NL95R0A,7,Female NPT Thread (FIPT),1.887,FamilyMEP - Neutral Gray,0,0,600,0,0,3.33,2.62,1.664,3.50,0,3.665,2.09,0.99,0,1,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1/4in_NL95T34,1/4,NL95T34,3,Female NPT Thread (FIPT),0.577,FamilyMEP - Neutral Gray,0,0,600,0,0,1.99,3.33,0.992,4.25,0,3.885,1.11,2.30,0,1,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
3/8in_NL95T35,3/8,NL95T35,3,Female NPT Thread (FIPT),0.571,FamilyMEP - Neutral Gray,0,0,600,0,0,2.0,3.33,1.0,4.25,0,3.885,1.11,2.30,0,1,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1/2in_NL95T36,1/2,NL95T36,3,Female NPT Thread (FIPT),0.764,FamilyMEP - Neutral Gray,0,0,600,0,0,2.42,3.45,1.198,4.25,0,4.09,1.28,2.30,0,1,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
3/4in_NL95T38,3/4,NL95T38,3,Female NPT Thread (FIPT),1.384,FamilyMEP - Neutral Gray,0,0,600,0,0,2.95,3.78,1.47,4.25,0,4.63,1.70,2.30,0,1,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1in_NL95T3A,1,NL95T3A,3,Female NPT Thread (FIPT),1.845,FamilyMEP - Neutral Gray,0,0,600,0,0,3.33,3.93,1.664,4.25,0,4.975,2.09,2.30,0,1,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1 1/4in_NL95T3B,1 1/4,NL95T3B,3,Female NPT Thread (FIPT),3.199,FamilyMEP - Neutral Gray,0,0,600,0,0,4.18,5.28,2.09,6.48,0,6.51,2.46,2.947,0,2,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1 1/2in_NL95T3C,1 1/2,NL95T3C,3,Female NPT Thread (FIPT),4.855,FamilyMEP - Neutral Gray,0,0,600,0,0,4.70,5.38,2.348,6.48,0,6.855,2.95,2.947,0,2,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
2in_NL95T3D,2,NL95T3D,3,Female NPT Thread (FIPT),6.764,FamilyMEP - Neutral Gray,0,0,600,0,0,5.16,5.73,2.575,6.48,0,7.575,3.69,2.947,0,2,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
3/4in_NL95V08,3/4,NL95V08,6,Female NPT Thread (FIPT),1.332,FamilyMEP - Neutral Gray,0,0,600,0,0,2.95,2.35,1.47,4.50,0,3.2,1.70,0.845,0,1,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T
1in_NL95V0A,1,NL95V0A,6,Female NPT Thread (FIPT),1.793,FamilyMEP - Neutral Gray,0,0,600,0,0,3.33,2.50,1.664,4.50,0,3.545,2.09,0.845,0,1,FamilyMEP - Neutral Gray,Threaded Ball Valve,Bi-directional,Conforms to MSS SP-110,Two-Piece Bronze Ball Valve - Full Port,,,T

